startDate,approve,disapprove
2024-01-28,45.0,54.0
2024-01-25,42.0,55.0
2024-01-01,35.3,56.9
2024-01-26,37.0,60.0
2024-01-25,38.0,62.0
2024-01-27,35.0,56.0
2024-01-28,41.0,54.0
2024-01-25,38.0,61.0
2024-01-25,39.0,55.0
2024-01-25,40.0,56.0
2024-01-26,42.2,46.3
2024-01-26,38.0,57.0
2024-01-26,35.0,53.0
2024-01-24,41.0,58.0
2024-01-21,45.0,54.0
2024-01-19,39.0,54.0
2024-01-21,40.0,56.0
2024-01-02,41.0,54.0
2024-01-19,41.0,55.0
2024-01-16,33.0,65.0
2024-01-17,38.0,57.0
2024-01-17,40.0,54.0
2024-01-17,37.0,60.0
2024-01-16,42.69,57.31
2024-01-16,39.0,58.0
2024-01-17,42.0,57.0
2024-01-18,38.0,47.0
2024-01-14,45.0,54.0
2024-01-16,42.0,53.0
2024-01-14,40.0,54.0
2024-01-11,39.9,60.1
2024-01-10,36.0,61.0
2024-01-07,44.0,55.0
2024-01-08,43.0,57.0
2024-01-07,40.0,53.0
2024-01-04,33.0,58.0
2024-01-03,36.0,54.0
2024-01-03,41.0,59.0
2024-01-02,37.0,60.0
2024-01-03,41.0,58.0
2023-12-27,43.0,56.0
2023-12-28,39.0,58.0
2023-12-27,37.0,55.0
2023-12-31,39.0,56.0
2023-12-25,37.0,55.0
2023-12-20,46.0,53.0
2023-12-23,38.9,57.6
2023-12-18,39.0,54.0
2023-12-20,36.0,62.0
2023-12-01,39.0,59.0
2023-12-17,37.0,57.0
2023-12-13,43.0,55.0
2023-12-18,39.0,59.0
2023-12-13,44.0,54.0
2023-12-14,35.0,59.0
2023-12-14,37.0,57.0
2023-12-16,40.0,54.0
2023-12-11,38.0,55.0
2023-12-14,39.4,60.6
2023-12-15,41.0,57.0
2023-12-15,39.0,50.0
2023-12-12,41.0,58.0
2023-12-04,41.0,51.0
2023-12-10,37.0,58.0
2023-12-13,38.0,59.0
2023-12-13,43.0,56.0
2023-12-10,43.0,57.0
2023-12-08,35.0,59.0
2023-12-09,39.0,55.0
2023-12-06,43.0,56.0
2023-12-07,39.0,53.0
2023-12-04,38.0,55.0
2023-12-07,38.0,54.0
2023-12-08,40.0,47.0
2023-12-06,41.0,59.0
2023-12-04,40.0,53.0
2023-12-05,40.0,57.0
2023-11-30,44.0,55.0
2023-12-04,40.6,50.7
2023-12-04,39.0,56.0
2023-12-02,39.0,55.0
2023-11-29,45.0,53.0
2023-11-30,41.0,57.0
2023-11-29,37.0,61.0
2023-11-30,41.0,59.0
2023-11-30,34.0,61.0
2023-11-27,33.0,64.0
2023-11-27,37.0,55.0
2023-12-01,39.78,53.08
2023-11-27,37.8,53.7
2023-11-27,38.0,56.0
2023-11-29,33.0,55.0
2023-11-01,35.8,57.3
2023-11-01,37.0,63.0
2023-11-27,38.2,61.8
2023-11-22,38.0,57.0
2023-11-20,44.0,54.0
2023-11-26,41.85,58.15
2023-11-27,40.0,57.0
2023-11-25,41.0,54.0
2023-11-20,39.0,54.0
2023-11-24,35.0,55.0
2023-11-01,37.0,59.0
2023-11-08,38.0,48.0
2023-11-16,43.0,55.0
2023-11-18,40.0,54.0
2023-11-17,37.6,49.9
2023-11-17,37.0,57.0
2023-11-13,38.0,55.0
2023-11-15,39.0,57.0
2023-11-13,42.0,56.0
2023-11-14,39.0,59.0
2023-11-15,45.0,52.0
2023-11-09,42.4,54.7
2023-11-10,40.0,57.0
2023-11-13,39.0,58.0
2023-11-11,41.0,52.0
2023-11-10,44.0,53.0
2023-11-09,39.0,58.0
2023-11-10,40.0,59.0
2023-11-09,36.0,59.0
2023-11-09,38.0,56.0
2023-11-06,39.0,54.0
2023-11-06,45.0,53.0
2023-11-01,38.0,58.0
2023-11-08,35.0,61.0
2023-11-06,42.0,51.0
2023-11-02,40.0,60.0
2023-11-02,40.0,59.0
2023-11-06,40.0,56.0
2023-11-05,40.0,54.0
2023-11-03,42.1,57.9
2023-11-02,38.0,61.0
2023-10-30,39.0,54.0
2023-10-30,36.7,55.3
2023-10-30,41.0,57.0
2023-11-03,38.54,55.65
2023-11-01,39.0,52.0
2023-10-27,39.0,61.0
2023-11-01,39.0,58.0
2023-10-30,41.0,56.0
2023-10-01,39.0,53.0
2023-10-28,37.0,55.0
2023-10-28,39.0,57.0
2023-10-26,38.0,59.0
2023-10-26,36.0,59.0
2023-10-27,44.9,52.6
2023-10-23,39.0,54.0
2023-10-27,37.0,51.0
2023-10-29,37.5,45.2
2023-10-23,43.0,55.0
2023-10-26,40.0,50.0
2023-10-20,37.0,56.0
2023-10-20,41.0,57.0
2023-10-23,37.0,61.0
2023-10-25,37.0,61.0
2023-10-23,44.22,55.78
2023-10-19,43.0,55.0
2023-10-21,40.0,55.0
2023-10-02,37.0,59.0
2023-10-16,40.0,56.0
2023-10-16,39.0,53.0
2023-10-19,42.4,57.6
2023-10-16,48.0,51.0
2023-10-20,40.0,58.0
2023-10-17,38.0,56.0
2023-10-17,39.8,56.3
2023-10-18,38.0,53.0
2023-10-16,40.0,54.0
2023-10-18,40.0,56.0
2023-10-16,40.0,60.0
2023-10-18,44.0,53.0
2023-10-11,40.4,57.1
2023-10-16,41.0,57.0
2023-10-16,42.0,49.6
2023-10-14,41.0,53.0
2023-10-12,40.0,58.0
2023-10-11,37.0,58.0
2023-10-12,37.0,55.0
2023-10-12,39.0,54.0
2023-10-11,31.0,63.0
2023-10-09,40.0,53.0
2023-10-13,48.0,50.2
2023-10-10,38.0,53.0
2023-10-09,43.0,54.0
2023-10-09,37.0,58.0
2023-10-11,43.0,52.0
2023-10-09,39.0,56.0
2023-10-08,41.0,54.0
2023-10-05,37.0,60.0
2023-10-04,41.0,59.0
2023-10-06,41.0,58.0
2023-10-05,38.0,61.0
2023-10-02,39.0,53.0
2023-10-06,40.4,53.83
2023-10-02,42.0,56.0
2023-10-04,39.0,56.0
2023-10-04,40.0,56.0
2023-09-29,39.0,53.0
2023-09-30,40.0,55.0
2023-09-28,27.0,64.0
2023-09-28,40.9,59.1
2023-09-25,39.0,53.0
2023-09-25,49.0,48.0
2023-09-01,41.0,53.0
2023-09-27,36.0,54.0
2023-09-28,40.0,56.0
2023-09-25,42.0,50.0
2023-09-25,38.0,59.0
2023-09-21,42.0,52.0
2023-09-22,42.0,54.0
2023-09-23,40.0,55.0
2023-09-18,39.0,61.0
2023-09-21,42.0,56.0
2023-09-20,37.0,54.0
2023-09-18,40.0,53.0
2023-09-22,37.0,52.0
2023-09-19,38.0,55.0
2023-09-22,43.2,56.8
2023-09-18,44.0,54.0
2023-09-01,41.0,58.0
2023-09-19,43.28,56.72
2023-09-15,37.0,56.0
2023-09-17,39.0,56.0
2023-09-13,40.0,56.0
2023-09-15,41.0,56.0
2023-09-18,40.0,59.0
2023-09-15,46.0,54.0
2023-09-17,41.0,55.0
2023-09-07,45.0,53.0
2023-09-16,43.3,51.5
2023-09-17,41.3,47.4
2023-09-14,38.0,56.0
2023-09-17,36.0,46.0
2023-09-11,39.0,53.0
2023-09-11,46.0,53.0
2023-09-13,38.0,53.0
2023-09-13,40.0,58.0
2023-09-13,42.0,54.0
2023-08-17,41.0,55.0
2023-09-11,42.0,56.0
2023-09-09,41.0,58.0
2023-09-09,39.0,52.0
2023-09-10,38.0,57.0
2023-08-25,40.0,50.0
2023-09-07,39.0,57.0
2023-09-07,40.0,59.0
