,Year,Average Global Gini,UK GDP Per Capita (US $),UK GDP Growth Rate,USA GDP Per Capita (US $),US GDP Growth Rate,Persons Below Poverty (US),Percent Below Poverty (US),Voter Turnout in UK
0,1963,37.6,1613.0,5.75,3375.0,4.03,,,
1,1964,38.1,1748.0,8.36,3574.0,5.91,,,77.1
2,1965,37.5,1874.0,7.17,3828.0,7.1,,,
3,1966,37.8,1987.0,6.04,4146.0,8.33,,,75.8
4,1967,36.9,2059.0,3.63,4336.0,4.59,,,
5,1968,31.55,1952.0,-5.2,4696.0,8.29,,,
6,1969,31.95,2101.0,7.63,5032.0,7.16,,,
7,1970,33.9,2348.0,11.76,5234.0,4.02,,,72.0
8,1971,34.5,2650.0,12.86,5609.0,7.17,,,
9,1972,32.75,3031.0,14.37,6094.0,8.64,,,
10,1973,33.266666666666666,3427.0,13.07,6726.0,10.38,,,
11,1974,32.25,3666.0,7.0,7226.0,7.42,,,78.8
12,1974,32.25,3666.0,7.0,7226.0,7.42,,,72.8
13,1975,31.58,4299.0,17.27,7801.0,7.97,,,
14,1976,31.6,4138.0,-3.75,8592.0,10.14,,,
15,1977,32.4,4682.0,13.14,9453.0,10.01,,,
16,1978,31.0,5977.0,27.67,10565.0,11.77,,,
17,1979,34.51428571428571,7805.0,30.59,11674.0,10.5,,,76.0
18,1980,37.06,10032.0,28.53,12575.0,7.71,,,
19,1981,39.84444444444445,9599.0,-4.32,13976.0,11.14,,,
20,1982,38.78,9145.0,-4.72,14434.0,3.27,,,
21,1983,35.416666666666664,8691.0,-4.97,15544.0,7.69,,,72.7
22,1984,39.1375,8179.0,-5.89,17121.0,10.15,,,
23,1985,36.885714285714286,8652.0,5.78,18237.0,6.52,,,
24,1986,40.1375,10611.0,22.65,19071.0,4.58,,,
25,1987,37.39545454545455,13118.0,23.62,20039.0,5.07,,,75.3
26,1988,37.73846153846154,15988.0,21.88,21417.0,6.88,,,
27,1989,45.1,16240.0,1.58,22857.0,6.72,,,
28,1990,39.13636363636363,19096.0,17.59,23889.0,4.51,,,
29,1991,40.078947368421055,19900.0,4.21,24342.0,1.9,,,
30,1992,40.2235294117647,20488.0,2.95,25419.0,4.42,,,77.7
31,1993,41.85384615384616,18390.0,-10.24,26387.0,3.81,,,
32,1994,44.642307692307696,19708.0,7.17,27695.0,4.96,,,
33,1995,38.21052631578947,23204.0,17.73,28691.0,3.6,,,
34,1996,41.452777777777776,24442.0,5.34,29968.0,4.45,,,
35,1997,43.05333333333333,26780.0,9.56,31459.0,4.98,,,71.4
36,1998,42.77804878048781,28297.0,5.66,32854.0,4.43,,,
37,1999,42.62972972972973,28789.0,1.74,34515.0,5.06,,,
38,2000,40.604081632653056,28290.0,-1.73,36330.0,5.26,31581.0,11.3,
39,2001,42.25,27889.0,-1.42,37134.0,2.21,32907.0,11.7,59.4
40,2002,40.98947368421053,30079.0,7.85,37998.0,2.33,34570.0,12.1,
41,2003,39.24,34481.0,14.64,39490.0,3.93,35861.0,12.5,
42,2004,37.85,40392.0,17.14,41725.0,5.66,37040.0,12.7,
43,2005,39.0,42132.0,4.31,44123.0,5.75,36950.0,12.6,61.4
44,2006,37.76233766233766,44538.0,5.71,46302.0,4.94,36460.0,12.3,
45,2007,36.481428571428566,50438.0,13.25,48050.0,3.78,37276.0,12.5,
46,2008,37.524,47433.0,-5.96,48570.0,1.08,39829.0,13.2,
47,2009,37.53924050632912,38820.0,-18.16,47195.0,-2.83,43569.0,14.3,
48,2010,36.43928571428572,39693.0,2.25,48651.0,3.08,46343.0,15.1,
49,2011,36.19113924050633,42151.0,6.19,50066.0,2.91,46247.0,15.0,
50,2012,36.31058823529412,42486.0,0.79,51784.0,3.43,,,
51,2013,36.45844155844157,43449.0,2.27,53291.0,2.91,,,
52,2014,36.55180722891566,47448.0,9.2,55124.0,3.44,,,
53,2015,36.71529411764706,45071.0,-5.01,56763.0,2.97,,,
54,2016,36.17831325301205,41146.0,-8.71,57867.0,1.94,,,
55,2017,35.507894736842104,40623.0,-1.27,59908.0,3.53,,,
56,2018,35.70909090909091,43306.0,6.61,62823.0,4.87,,,
57,2019,35.212676056338026,42747.0,-1.29,65120.0,3.66,,,
58,2020,35.033962264150944,40318.0,-5.68,63529.0,-2.44,,,
59,2021,40.51363636363636,46586.0,15.54,70219.0,10.53,,,
60,2022,39.25714285714286,45850.0,-1.58,76399.0,8.8,,,
61,1962,,1526.0,3.63,3244.0,5.78,,,
62,1961,,1472.0,5.35,3067.0,1.98,,,
63,1960,,1398.0,5.35,3007.0,1.98,,,
64,1945,,,,,,,,72.8
65,1950,,,,,,,,83.9
66,1951,,,,,,,,82.6
67,1955,,,,,,,,76.8
68,1959,,,,,,,,78.7
