Date,Event
2021-06-16,Geneva Summit with Putin
2021-03-11,American Rescue Plan
2021-11-06,Infrastructure Investment and Jobs Act Signed
2021-08-26,Hurricane Ida
2022-03-08,Ban on Russian energy imports
2022-08-24,Student Loan forgiveness plan
2022-02-26,Trump sides with Putin as Biden tries to stop a war
2023-05-11,Title 42 expires as federal government tries to handle migration
2023-09-14,Hunter Biden indicted by federal prosecutors on gun charges
2023-11-14,Biden met with Chinese leader Xi Jinping
2023-07-2,Interest rates jump to highest levels in 22 years
2023-01-07,Republicans take majority in the House of Representatives for the first time in four years
