"
<tr>
<th id=""col-A2"" class=""  header-top"" colspan=""1"" rowspan=""1"" headers="""">Rank",Country,Region,2050,2075,2100
1,India,Central and Southern Asia,1 668 475,1 677 814,1 533 400
2,China,Eastern Asia,1 316 946,1 034 617,771 301
3,United States of America,Northern America,375 085,389 171,393 993
4,Nigeria,Western Africa,374 711,491 187,545 706
5,Pakistan,Central and Southern Asia,365 678,452 094,486 772
6,Indonesia,South-Eastern Asia,316 968,316 042,297 128
7,Brazil,South America,230 972,214 277,185 102
8,Democratic Republic of the Congo,Middle Africa,215 056,336 841,430 995
9,Ethiopia,Eastern Africa,213 190,283 418,323 283
10,Bangladesh,Central and Southern Asia,203 638,202 222,176 964
11,Egypt,Northern Africa,159 574,190 469,205 119
12,Philippines,South-Eastern Asia,157 313,177 373,180 236
13,Mexico,Central America,143 734,136 563,116 090
14,Russian Federation,Eastern Europe,133 354,120 324,112 204
15,United Republic of Tanzania,Eastern Africa,128 652,192 234,243 995
16,Viet Nam,South-Eastern Asia,107 003,101 581,91 255
17,Japan,Eastern Asia,104 140,86 065,73 846
18,Iran (Islamic Republic of),Central and Southern Asia,98 945,92 070,80 145
19,Turkey,Western Asia,95 744,92 564,82 775
20,Uganda,Eastern Africa,86 907,117 075,131 989
21,Kenya,Eastern Africa,84 724,104 440,112 466
22,Sudan,Northern Africa,83 779,117 007,141 627
23,Germany,Western Europe,79 064,72 981,68 985
24,Iraq,Western Asia,73 996,97 122,111 325
25,Afghanistan,Central and Southern Asia,73 492,98 357,110 743
26,South Africa,Southern Africa,73 381,76 585,74 631
27,United Kingdom,Northern Europe,71 660,71 624,70 511
28,Angola,Middle Africa,71 606,106 510,132 522
29,Thailand,South-Eastern Asia,68 075,56 171,44 767
30,Niger,Western Africa,66 102,117 226,166 166
31,France (métropolitaine),Western Europe,65 863,63 534,60 909
32,Mozambique,Eastern Africa,62 482,88 528,105 963
33,Myanmar,South-Eastern Asia,59 919,57 716,52 535
34,Algeria,Northern Africa,59 772,66 173,67 823
35,Colombia,South America,56 986,53 748,45 985
36,Yemen,Western Asia,54 942,68 639,74 145
37,Italy,Southern Europe,52 428,42 852,36 978
38,Ghana,Western Africa,51 916,65 225,72 739
39,Argentina,South America,51 564,51 666,47 661
40,Madagascar,Eastern Africa,51 189,70 082,83 129
41,Côte d’Ivoire,Western Africa,50 914,72 563,89 114
42,Cameroon,Middle Africa,50 837,71 741,86 877
43,Saudi Arabia,Western Asia,48 236,50 684,50 496
44,Mali,Western Africa,46 949,70 551,86 867
45,Republic of Korea,Eastern Asia,45 989,33 819,24 244
46,Canada,Northern America,45 801,50 323,53 832
47,Uzbekistan,Central and Southern Asia,45 442,50 027,50 820
48,Morocco,Northern Africa,44 964,46 472,44 016
49,Spain,Southern Europe,44 340,36 457,30 979
50,Peru,South America,41 928,44 155,42 170
 ,World, ,9 687 440,10 365 079,10 355 002
